"title","title_en","year_from","year_until","link","genres","countries"
"Agents Of S.H.I.E.L.D.",NULL,2013,2015,"http://www.imdb.com/title/tt2364582/","Action,Drama,Sci-Fi","USA"
"Almost Human",NULL,2013,2014,"http://www.imdb.com/title/tt2654580/","Action,Crime,Drama,Sci-Fi","USA"
"Alphas",NULL,2011,2012,"http://www.imdb.com/title/tt1183865/","Action,Drama,Sci-Fi,Thriller","USA"
"American Horror Story",NULL,2011,2015,"http://www.imdb.com/title/tt1844624/","Drama,Horror,Mystery","USA"
"Arrow",NULL,2012,2014,"http://www.imdb.com/title/tt2193021/","Action,Adventure,Crime,Drama,Mystery,Thriller","USA"
"Awake",NULL,2012,2012,"http://www.imdb.com/title/tt1839683/","Drama,Fantasy,Mystery,Sci-Fi","USA"
"Beavis And Butt-Head",NULL,1993,2012,"http://www.imdb.com/title/tt0105950/","Animation,Comedy,Music","USA"
"Benny Hill",NULL,1962,1963,"http://www.imdb.com/title/tt0307726/","Comedy","UK"
"Bionic Woman",NULL,2007,2007,"http://www.imdb.com/title/tt0880557/","Action,Sci-Fi,Thriller","USA"
"Black Books",NULL,2000,2004,"http://www.imdb.com/title/tt0262150/","Comedy","UK"
"Black Mirror",NULL,2011,2013,"http://www.imdb.com/title/tt2085059/","Drama,Sci-Fi,Thriller","UK"
"Brass Eye",NULL,1997,2001,"http://www.imdb.com/title/tt0118273/","Comedy","UK"
"Breaking Bad",NULL,2008,2013,"http://www.imdb.com/title/tt0903747/","Crime,Drama,Thriller","USA"
"Camelot",NULL,2011,2011,"http://www.imdb.com/title/tt1672189/","Drama,Fantasy,History","Canada,Ireland,UK,USA"
"Constantine",NULL,2014,2015,"http://www.imdb.com/title/tt3489184/","Fantasy,Horror","USA"
"Continuum",NULL,2012,2013,"http://www.imdb.com/title/tt2309131/","Sci-Fi","Canada,USA"
"Continuum",NULL,2012,2014,"http://www.imdb.com/title/tt1954347/","Sci-Fi,Thriller","Canada"
"Da Vinci's Demons",NULL,2013,2014,"http://www.imdb.com/title/tt2094262/","Adventure,Drama,Fantasy,History,Mystery","USA"
"Deadwood",NULL,2004,2006,"http://www.imdb.com/title/tt0348914/","Crime,Drama,History,Western","USA"
"Dexter",NULL,2006,2013,"http://www.imdb.com/title/tt0773262/","Crime,Drama,Mystery,Thriller","USA"
"Drew Carey's Improv-a-ganza",NULL,2011,2011,"http://www.imdb.com/title/tt1827070/","Comedy","USA"
"Eureka","A Town Called Eureka",2006,2012,"http://www.imdb.com/title/tt0796264/","Comedy,Drama,Mystery,Sci-Fi","USA"
"Falling Skies",NULL,2011,2014,"http://www.imdb.com/title/tt1462059/","Action,Sci-Fi,Thriller","Canada,USA"
"Father Ted",NULL,1995,1998,"http://www.imdb.com/title/tt0111958/","Comedy","UK"
"Fringe",NULL,2008,2012,"http://www.imdb.com/title/tt1119644/","Drama,Horror,Mystery,Sci-Fi,Thriller","Canada,USA"
"Game Of Thrones",NULL,2011,2015,"http://www.imdb.com/title/tt0944947/","Adventure,Drama,Fantasy","USA"
"Garth Marenghi's Darkplace",NULL,2004,2004,"http://www.imdb.com/title/tt0397150/","Comedy,Horror","UK"
"Genius Of Britain: The Scientists Who Changed The World",NULL,2010,2010,"http://www.imdb.com/title/tt1673443/","Documentary","UK"
"Grimm",NULL,2011,2015,"http://www.imdb.com/title/tt1830617/","Drama,Fantasy,Horror,Mystery","USA"
"Hannibal",NULL,2013,2014,"http://www.imdb.com/title/tt2243973/","Crime,Drama,Horror,Thriller","USA"
"Heroes",NULL,2006,2010,"http://www.imdb.com/title/tt0813715/","Drama,Sci-Fi,Thriller","USA"
"Hotel Room",NULL,1993,1993,"http://www.imdb.com/title/tt0106029/","Drama","USA"
"How Do You Want Me?",NULL,1998,1999,"http://www.imdb.com/title/tt0136643/","Comedy,Drama","UK"
"How The Earth Was Made",NULL,2009,2010,"http://www.imdb.com/title/tt1591535/","Documentary,History","UK,USA"
"I'm Alan Partridge",NULL,1994,2002,"http://www.imdb.com/title/tt0129690/","Comedy","UK"
"Jam",NULL,2000,2000,"http://www.imdb.com/title/tt0240273/","Comedy,Horror,Music","UK"
"Kingdom Hospital",NULL,2004,2004,"http://www.imdb.com/title/tt0324864/","Drama,Fantasy,Horror,Mystery","USA"
"Knight Rider",NULL,1982,1986,"http://www.imdb.com/title/tt0083437/","Action,Crime,Sci-Fi","USA"
"Knight Rider",NULL,2008,2009,"http://www.imdb.com/title/tt1213404/","Mystery,Thriller","USA"
"La Femme Nikita",NULL,1997,2001,"http://www.imdb.com/title/tt0118379/","Action,Drama,Romance,Thriller","Canada"
"Las Revenants","The Returned",2012,2012,"http://www.imdb.com/title/tt2521668/","Drama,Thriller","France"
"Masters Of Horror",NULL,2005,2007,"http://www.imdb.com/title/tt0448190/","Horror,Thriller","Canada,Japan,USA"
"Masters Of Science Fiction",NULL,2007,2007,"http://www.imdb.com/title/tt0772139/","Drama,Sci-Fi","USA"
"Metalocalypse",NULL,2006,2012,"http://www.imdb.com/title/tt0839188/","Animation,Comedy,Music","USA"
"Mildred Pierce",NULL,2011,2011,"http://www.imdb.com/title/tt1492030/","Drama","USA"
"Misfits",NULL,2009,2013,"http://www.imdb.com/title/tt1548850/","Comedy,Drama,Fantasy,Sci-Fi","UK"
"Nathan Barley",NULL,2005,2005,"http://www.imdb.com/title/tt0426654/","Comedy","UK"
"Nightmares & Dreamscapes: From Stories Of Stephen King",NULL,2006,2006,"http://www.imdb.com/title/tt0481452/","Drama,Fantasy,Horror,Sci-Fi,Thriller","Australia,USA"
"Nikita",NULL,2010,2013,"http://www.imdb.com/title/tt1592154/","Action,Crime,Drama,Thriller","USA"
"Oggy Et Les Cafards","Oggy And The Cockroaches",1998,2008,"http://www.imdb.com/title/tt0213363/","Animation,Comedy,Family","France"
"Once Upon A Time",NULL,2011,2015,"http://www.imdb.com/title/tt1843230/","Adventure,Drama,Fantasy","USA"
"Orphan Black",NULL,2013,2015,"http://www.imdb.com/title/tt2234222/","Action,Drama,Sci-Fi","Canada,USA"
"Parks And Recreation",NULL,2009,2015,"http://www.imdb.com/title/tt1266020/","Comedy","USA"
"Penny Dreadful",NULL,2014,2014,"http://www.imdb.com/title/tt2628232/","Drama,Horror","Ireland,UK,USA"
"Prison Break",NULL,2005,2009,"http://www.imdb.com/title/tt0455275/","Action,Crime,Drama,Mystery,Thriller","USA"
"Purple And Brown",NULL,2006,NULL,"http://www.imdb.com/title/tt0799892/","Comedy","UK"
